time,source,target,st,tt,t
58980,9,19,PSI*,PSI*,12/01/2011 10:00:00
59060,9,19,PSI*,PSI*,12/01/2011 10:00:00
59080,9,19,PSI*,PSI*,12/01/2011 10:00:00
59100,9,19,PSI*,PSI*,12/01/2011 10:00:00
59120,9,19,PSI*,PSI*,12/01/2011 10:00:00
59140,9,19,PSI*,PSI*,12/01/2011 10:00:00
60740,9,19,PSI*,PSI*,12/01/2011 10:30:00
60760,9,19,PSI*,PSI*,12/01/2011 10:30:00
60780,9,19,PSI*,PSI*,12/01/2011 10:30:00
60800,9,19,PSI*,PSI*,12/01/2011 10:30:00
60820,9,19,PSI*,PSI*,12/01/2011 10:30:00
60860,9,19,PSI*,PSI*,12/01/2011 10:30:00
60940,9,19,PSI*,PSI*,12/01/2011 10:30:00
60960,9,19,PSI*,PSI*,12/01/2011 10:30:00
60980,9,19,PSI*,PSI*,12/01/2011 10:30:00
61020,9,19,PSI*,PSI*,12/01/2011 10:30:00
61040,9,19,PSI*,PSI*,12/01/2011 10:30:00
61700,9,19,PSI*,PSI*,12/01/2011 11:00:00
61720,9,19,PSI*,PSI*,12/01/2011 11:00:00
61740,9,19,PSI*,PSI*,12/01/2011 11:00:00
61780,9,19,PSI*,PSI*,12/01/2011 11:00:00
61800,9,19,PSI*,PSI*,12/01/2011 11:00:00
61820,9,19,PSI*,PSI*,12/01/2011 11:00:00
61900,9,19,PSI*,PSI*,12/01/2011 11:00:00
61940,9,19,PSI*,PSI*,12/01/2011 11:00:00
62020,14,10,PSI*,PSI*,12/01/2011 11:00:00
62120,14,13,PSI*,PSI*,12/01/2011 11:00:00
62800,3,2,PC*,PC*,12/01/2011 11:00:00
62820,3,2,PC*,PC*,12/01/2011 11:00:00
62840,17,2,PC*,PC*,12/01/2011 11:00:00
62880,3,2,PC*,PC*,12/01/2011 11:00:00
62900,17,2,PC*,PC*,12/01/2011 11:00:00
62900,3,2,PC*,PC*,12/01/2011 11:00:00
62900,3,17,PC*,PC*,12/01/2011 11:00:00
62960,1,11,PC*,PC*,12/01/2011 11:00:00
63040,16,11,PC*,PC*,12/01/2011 11:30:00
70260,11,12,PC*,PC*,12/01/2011 13:30:00
70540,16,17,PC*,PC*,12/01/2011 13:30:00
73320,16,12,PC*,PC*,12/01/2011 14:00:00
73380,16,12,PC*,PC*,12/01/2011 14:00:00
73600,1,12,PC*,PC*,12/01/2011 14:00:00
73860,16,2,PC*,PC*,12/01/2011 14:30:00
73880,12,17,PC*,PC*,12/01/2011 14:30:00
73900,12,17,PC*,PC*,12/01/2011 14:30:00
73940,12,17,PC*,PC*,12/01/2011 14:30:00
73980,16,11,PC*,PC*,12/01/2011 14:30:00
74000,1,16,PC*,PC*,12/01/2011 14:30:00
74020,1,16,PC*,PC*,12/01/2011 14:30:00
74060,1,11,PC*,PC*,12/01/2011 14:30:00
74060,12,17,PC*,PC*,12/01/2011 14:30:00
74080,1,11,PC*,PC*,12/01/2011 14:30:00
74100,1,11,PC*,PC*,12/01/2011 14:30:00
74120,1,11,PC*,PC*,12/01/2011 14:30:00
74160,1,11,PC*,PC*,12/01/2011 14:30:00
74180,1,2,PC*,PC*,12/01/2011 14:30:00
74180,1,11,PC*,PC*,12/01/2011 14:30:00
74200,1,11,PC*,PC*,12/01/2011 14:30:00
74200,1,12,PC*,PC*,12/01/2011 14:30:00
74220,1,2,PC*,PC*,12/01/2011 14:30:00
74220,11,12,PC*,PC*,12/01/2011 14:30:00
74220,11,2,PC*,PC*,12/01/2011 14:30:00
74220,1,11,PC*,PC*,12/01/2011 14:30:00
74220,1,12,PC*,PC*,12/01/2011 14:30:00
74220,12,2,PC*,PC*,12/01/2011 14:30:00
74240,1,2,PC*,PC*,12/01/2011 14:30:00
74240,11,12,PC*,PC*,12/01/2011 14:30:00
74240,1,12,PC*,PC*,12/01/2011 14:30:00
74260,1,2,PC*,PC*,12/01/2011 14:30:00
74260,11,2,PC*,PC*,12/01/2011 14:30:00
74260,1,12,PC*,PC*,12/01/2011 14:30:00
74280,1,2,PC*,PC*,12/01/2011 14:30:00
74280,11,2,PC*,PC*,12/01/2011 14:30:00
74280,1,12,PC*,PC*,12/01/2011 14:30:00
74300,11,2,PC*,PC*,12/01/2011 14:30:00
74300,1,12,PC*,PC*,12/01/2011 14:30:00
74320,11,2,PC*,PC*,12/01/2011 14:30:00
74360,11,12,PC*,PC*,12/01/2011 14:30:00
74360,1,12,PC*,PC*,12/01/2011 14:30:00
74380,1,12,PC*,PC*,12/01/2011 14:30:00
74400,1,12,PC*,PC*,12/01/2011 14:30:00
75040,18,14,PSI*,PSI*,12/01/2011 14:30:00
75040,1,11,PC*,PC*,12/01/2011 14:30:00
75060,18,14,PSI*,PSI*,12/01/2011 14:30:00
75080,18,14,PSI*,PSI*,12/01/2011 14:30:00
75100,1,11,PC*,PC*,12/01/2011 14:30:00
75120,1,11,PC*,PC*,12/01/2011 14:30:00
75140,1,11,PC*,PC*,12/01/2011 14:30:00
75160,1,11,PC*,PC*,12/01/2011 14:30:00
75180,1,11,PC*,PC*,12/01/2011 14:30:00
75200,1,11,PC*,PC*,12/01/2011 14:30:00
75220,1,11,PC*,PC*,12/01/2011 14:30:00
75240,1,11,PC*,PC*,12/01/2011 14:30:00
75280,11,12,PC*,PC*,12/01/2011 14:30:00
75280,1,12,PC*,PC*,12/01/2011 14:30:00
75360,1,12,PC*,PC*,12/01/2011 14:30:00
75500,11,17,PC*,PC*,12/01/2011 14:30:00
75540,11,12,PC*,PC*,12/01/2011 14:30:00
75640,11,12,PC*,PC*,12/01/2011 15:00:00
75720,11,12,PC*,PC*,12/01/2011 15:00:00
76060,16,17,PC*,PC*,12/01/2011 15:00:00
76120,11,12,PC*,PC*,12/01/2011 15:00:00
76120,16,11,PC*,PC*,12/01/2011 15:00:00
76140,11,12,PC*,PC*,12/01/2011 15:00:00
76140,12,2,PC*,PC*,12/01/2011 15:00:00
76160,11,2,PC*,PC*,12/01/2011 15:00:00
76180,11,12,PC*,PC*,12/01/2011 15:00:00
76180,11,2,PC*,PC*,12/01/2011 15:00:00
76200,12,2,PC*,PC*,12/01/2011 15:00:00
76220,11,12,PC*,PC*,12/01/2011 15:00:00
76260,11,12,PC*,PC*,12/01/2011 15:00:00
76280,11,12,PC*,PC*,12/01/2011 15:00:00
76460,11,2,PC*,PC*,12/01/2011 15:00:00
76500,12,4,PC*,PC*,12/01/2011 15:00:00
76520,11,12,PC*,PC*,12/01/2011 15:00:00
76540,11,12,PC*,PC*,12/01/2011 15:00:00
76560,11,12,PC*,PC*,12/01/2011 15:00:00
76620,11,12,PC*,PC*,12/01/2011 15:00:00
76620,11,12,PC*,PC*,12/01/2011 15:00:00
76640,11,12,PC*,PC*,12/01/2011 15:00:00
76640,11,12,PC*,PC*,12/01/2011 15:00:00
76660,11,12,PC*,PC*,12/01/2011 15:00:00
76680,11,12,PC*,PC*,12/01/2011 15:00:00
76680,11,12,PC*,PC*,12/01/2011 15:00:00
76700,11,12,PC*,PC*,12/01/2011 15:00:00
76700,11,12,PC*,PC*,12/01/2011 15:00:00
76760,11,12,PC*,PC*,12/01/2011 15:00:00
76840,19,4,PSI*,PC*,12/01/2011 15:00:00
77100,12,4,PC*,PC*,12/01/2011 15:00:00
77120,12,4,PC*,PC*,12/01/2011 15:00:00
77140,19,13,PSI*,PSI*,12/01/2011 15:00:00
77160,14,10,PSI*,PSI*,12/01/2011 15:00:00
77200,9,13,PSI*,PSI*,12/01/2011 15:00:00
77340,12,4,PC*,PC*,12/01/2011 15:00:00
77360,16,3,PC*,PC*,12/01/2011 15:00:00
77380,16,3,PC*,PC*,12/01/2011 15:00:00
77380,11,6,PC*,PSI*,12/01/2011 15:00:00
77500,9,13,PSI*,PSI*,12/01/2011 15:30:00
77520,3,11,PC*,PC*,12/01/2011 15:30:00
77520,19,13,PSI*,PSI*,12/01/2011 15:30:00
77520,9,13,PSI*,PSI*,12/01/2011 15:30:00
77620,16,12,PC*,PC*,12/01/2011 15:30:00
77660,9,19,PSI*,PSI*,12/01/2011 15:30:00
77680,9,19,PSI*,PSI*,12/01/2011 15:30:00
77900,9,19,PSI*,PSI*,12/01/2011 15:30:00
77920,9,19,PSI*,PSI*,12/01/2011 15:30:00
77940,9,19,PSI*,PSI*,12/01/2011 15:30:00
77960,9,19,PSI*,PSI*,12/01/2011 15:30:00
78080,9,19,PSI*,PSI*,12/01/2011 15:30:00
78100,9,19,PSI*,PSI*,12/01/2011 15:30:00
78140,9,19,PSI*,PSI*,12/01/2011 15:30:00
78180,9,19,PSI*,PSI*,12/01/2011 15:30:00
78200,9,19,PSI*,PSI*,12/01/2011 15:30:00
78220,9,19,PSI*,PSI*,12/01/2011 15:30:00
78240,9,19,PSI*,PSI*,12/01/2011 15:30:00
78260,9,19,PSI*,PSI*,12/01/2011 15:30:00
78280,9,19,PSI*,PSI*,12/01/2011 15:30:00
78300,9,19,PSI*,PSI*,12/01/2011 15:30:00
78320,9,19,PSI*,PSI*,12/01/2011 15:30:00
78340,9,19,PSI*,PSI*,12/01/2011 15:30:00
78360,9,19,PSI*,PSI*,12/01/2011 15:30:00
78380,9,19,PSI*,PSI*,12/01/2011 15:30:00
78400,9,19,PSI*,PSI*,12/01/2011 15:30:00
78420,9,19,PSI*,PSI*,12/01/2011 15:30:00
78440,9,19,PSI*,PSI*,12/01/2011 15:30:00
78460,9,19,PSI*,PSI*,12/01/2011 15:30:00
78480,9,19,PSI*,PSI*,12/01/2011 15:30:00
78500,9,19,PSI*,PSI*,12/01/2011 15:30:00
78520,9,19,PSI*,PSI*,12/01/2011 15:30:00
78540,9,19,PSI*,PSI*,12/01/2011 15:30:00
78560,9,19,PSI*,PSI*,12/01/2011 15:30:00
78580,9,19,PSI*,PSI*,12/01/2011 15:30:00
78600,9,19,PSI*,PSI*,12/01/2011 15:30:00
78720,9,19,PSI*,PSI*,12/01/2011 15:30:00
78780,9,19,PSI*,PSI*,12/01/2011 15:30:00
78800,9,19,PSI*,PSI*,12/01/2011 15:30:00
78820,9,19,PSI*,PSI*,12/01/2011 15:30:00
78920,9,19,PSI*,PSI*,12/01/2011 15:30:00
78940,9,19,PSI*,PSI*,12/01/2011 15:30:00
78980,9,19,PSI*,PSI*,12/01/2011 15:30:00
79040,9,19,PSI*,PSI*,12/01/2011 15:30:00
79060,9,19,PSI*,PSI*,12/01/2011 15:30:00
79900,9,19,PSI*,PSI*,12/01/2011 16:00:00
80140,9,10,PSI*,PSI*,12/01/2011 16:00:00
80160,9,10,PSI*,PSI*,12/01/2011 16:00:00
80180,9,10,PSI*,PSI*,12/01/2011 16:00:00
80200,9,10,PSI*,PSI*,12/01/2011 16:00:00
80440,9,19,PSI*,PSI*,12/01/2011 16:00:00
80460,9,19,PSI*,PSI*,12/01/2011 16:00:00
80480,9,19,PSI*,PSI*,12/01/2011 16:00:00
80500,9,19,PSI*,PSI*,12/01/2011 16:00:00
80880,12,4,PC*,PC*,12/01/2011 16:00:00
80980,12,4,PC*,PC*,12/01/2011 16:00:00
81300,9,19,PSI*,PSI*,12/01/2011 16:30:00
81320,9,19,PSI*,PSI*,12/01/2011 16:30:00
81700,9,19,PSI*,PSI*,12/01/2011 16:30:00
81840,9,10,PSI*,PSI*,12/01/2011 16:30:00
82260,12,4,PC*,PC*,12/01/2011 16:30:00
82300,12,4,PC*,PC*,12/01/2011 16:30:00
82760,9,10,PSI*,PSI*,12/01/2011 16:30:00
82780,9,10,PSI*,PSI*,12/01/2011 16:30:00
83500,9,19,PSI*,PSI*,12/01/2011 17:00:00
83520,9,19,PSI*,PSI*,12/01/2011 17:00:00
83580,9,19,PSI*,PSI*,12/01/2011 17:00:00
83620,9,19,PSI*,PSI*,12/01/2011 17:00:00
83700,9,19,PSI*,PSI*,12/01/2011 17:00:00
83720,9,19,PSI*,PSI*,12/01/2011 17:00:00
83740,9,19,PSI*,PSI*,12/01/2011 17:00:00
84060,9,19,PSI*,PSI*,12/01/2011 17:00:00
84080,9,10,PSI*,PSI*,12/01/2011 17:00:00
84080,9,19,PSI*,PSI*,12/01/2011 17:00:00
84140,9,10,PSI*,PSI*,12/01/2011 17:00:00
84140,9,19,PSI*,PSI*,12/01/2011 17:00:00
84160,9,19,PSI*,PSI*,12/01/2011 17:00:00
84180,9,19,PSI*,PSI*,12/01/2011 17:00:00
84200,9,19,PSI*,PSI*,12/01/2011 17:00:00
84220,9,19,PSI*,PSI*,12/01/2011 17:00:00
84240,9,19,PSI*,PSI*,12/01/2011 17:00:00
84260,9,19,PSI*,PSI*,12/01/2011 17:00:00
84280,9,19,PSI*,PSI*,12/01/2011 17:00:00
84300,9,19,PSI*,PSI*,12/01/2011 17:00:00
84320,9,19,PSI*,PSI*,12/01/2011 17:00:00
84340,9,19,PSI*,PSI*,12/01/2011 17:00:00
84360,9,19,PSI*,PSI*,12/01/2011 17:00:00
84380,9,19,PSI*,PSI*,12/01/2011 17:00:00
84440,9,19,PSI*,PSI*,12/01/2011 17:00:00
84460,9,19,PSI*,PSI*,12/01/2011 17:00:00
84480,9,19,PSI*,PSI*,12/01/2011 17:00:00
84520,9,19,PSI*,PSI*,12/01/2011 17:00:00
84540,9,19,PSI*,PSI*,12/01/2011 17:00:00
140640,11,4,PC*,PC*,12/02/2011 09:00:00
140680,11,4,PC*,PC*,12/02/2011 09:00:00
140840,11,6,PC*,PSI*,12/02/2011 09:00:00
140860,11,6,PC*,PSI*,12/02/2011 09:00:00
140920,13,5,PSI*,PSI*,12/02/2011 09:00:00
140940,13,5,PSI*,PSI*,12/02/2011 09:00:00
140940,11,6,PC*,PSI*,12/02/2011 09:00:00
141000,13,5,PSI*,PSI*,12/02/2011 09:00:00
141180,1,11,PC*,PC*,12/02/2011 09:00:00
141180,1,3,PC*,PC*,12/02/2011 09:00:00
141220,1,3,PC*,PC*,12/02/2011 09:00:00
141220,8,13,PSI*,PSI*,12/02/2011 09:00:00
141220,1,12,PC*,PC*,12/02/2011 09:00:00
141240,16,3,PC*,PC*,12/02/2011 09:00:00
141260,16,3,PC*,PC*,12/02/2011 09:00:00
141280,16,3,PC*,PC*,12/02/2011 09:00:00
141280,19,10,PSI*,PSI*,12/02/2011 09:00:00
141280,9,19,PSI*,PSI*,12/02/2011 09:00:00
141300,19,10,PSI*,PSI*,12/02/2011 09:00:00
141300,9,19,PSI*,PSI*,12/02/2011 09:00:00
141320,19,10,PSI*,PSI*,12/02/2011 09:00:00
141320,16,11,PC*,PC*,12/02/2011 09:00:00
141320,9,19,PSI*,PSI*,12/02/2011 09:00:00
141340,16,11,PC*,PC*,12/02/2011 09:00:00
141340,9,19,PSI*,PSI*,12/02/2011 09:00:00
141360,16,11,PC*,PC*,12/02/2011 09:00:00
141360,9,19,PSI*,PSI*,12/02/2011 09:00:00
141380,16,11,PC*,PC*,12/02/2011 09:00:00
141380,9,19,PSI*,PSI*,12/02/2011 09:00:00
141400,9,19,PSI*,PSI*,12/02/2011 09:00:00
141420,9,19,PSI*,PSI*,12/02/2011 09:00:00
141440,11,12,PC*,PC*,12/02/2011 09:00:00
141440,19,10,PSI*,PSI*,12/02/2011 09:00:00
141440,9,19,PSI*,PSI*,12/02/2011 09:00:00
141440,3,12,PC*,PC*,12/02/2011 09:00:00
141460,19,10,PSI*,PSI*,12/02/2011 09:00:00
141460,9,19,PSI*,PSI*,12/02/2011 09:00:00
146960,19,10,PSI*,PSI*,12/02/2011 10:30:00
147360,19,10,PSI*,PSI*,12/02/2011 10:30:00
147420,19,10,PSI*,PSI*,12/02/2011 10:30:00
147480,19,10,PSI*,PSI*,12/02/2011 10:30:00
147520,9,19,PSI*,PSI*,12/02/2011 10:30:00
147540,9,19,PSI*,PSI*,12/02/2011 10:30:00
147560,9,19,PSI*,PSI*,12/02/2011 10:30:00
147580,9,19,PSI*,PSI*,12/02/2011 10:30:00
147600,9,19,PSI*,PSI*,12/02/2011 11:00:00
147620,9,19,PSI*,PSI*,12/02/2011 11:00:00
147640,19,10,PSI*,PSI*,12/02/2011 11:00:00
147640,9,19,PSI*,PSI*,12/02/2011 11:00:00
147660,9,19,PSI*,PSI*,12/02/2011 11:00:00
147680,9,10,PSI*,PSI*,12/02/2011 11:00:00
147700,9,10,PSI*,PSI*,12/02/2011 11:00:00
147900,9,19,PSI*,PSI*,12/02/2011 11:00:00
148000,19,10,PSI*,PSI*,12/02/2011 11:00:00
148000,9,19,PSI*,PSI*,12/02/2011 11:00:00
148020,9,19,PSI*,PSI*,12/02/2011 11:00:00
148040,19,10,PSI*,PSI*,12/02/2011 11:00:00
148060,19,10,PSI*,PSI*,12/02/2011 11:00:00
148080,19,10,PSI*,PSI*,12/02/2011 11:00:00
148080,9,19,PSI*,PSI*,12/02/2011 11:00:00
148100,19,10,PSI*,PSI*,12/02/2011 11:00:00
148100,9,19,PSI*,PSI*,12/02/2011 11:00:00
148120,9,19,PSI*,PSI*,12/02/2011 11:00:00
148140,9,19,PSI*,PSI*,12/02/2011 11:00:00
148160,19,10,PSI*,PSI*,12/02/2011 11:00:00
148160,9,19,PSI*,PSI*,12/02/2011 11:00:00
148180,19,10,PSI*,PSI*,12/02/2011 11:00:00
148180,9,19,PSI*,PSI*,12/02/2011 11:00:00
148200,19,10,PSI*,PSI*,12/02/2011 11:00:00
148220,19,10,PSI*,PSI*,12/02/2011 11:00:00
148300,9,19,PSI*,PSI*,12/02/2011 11:00:00
148320,9,19,PSI*,PSI*,12/02/2011 11:00:00
148340,9,19,PSI*,PSI*,12/02/2011 11:00:00
148420,9,13,PSI*,PSI*,12/02/2011 11:00:00
148440,9,13,PSI*,PSI*,12/02/2011 11:00:00
148520,9,14,PSI*,PSI*,12/02/2011 11:00:00
148620,16,2,PC*,PC*,12/02/2011 11:00:00
148640,16,2,PC*,PC*,12/02/2011 11:00:00
148680,16,11,PC*,PC*,12/02/2011 11:00:00
148860,12,2,PC*,PC*,12/02/2011 11:00:00
148900,3,12,PC*,PC*,12/02/2011 11:00:00
149060,19,11,PSI*,PC*,12/02/2011 11:00:00
149120,11,6,PC*,PSI*,12/02/2011 11:00:00
149140,19,11,PSI*,PC*,12/02/2011 11:00:00
149140,11,6,PC*,PSI*,12/02/2011 11:00:00
149160,11,6,PC*,PSI*,12/02/2011 11:00:00
149180,12,4,PC*,PC*,12/02/2011 11:00:00
149180,11,6,PC*,PSI*,12/02/2011 11:00:00
149200,11,6,PC*,PSI*,12/02/2011 11:00:00
149220,5,6,PSI*,PSI*,12/02/2011 11:00:00
149220,11,5,PC*,PSI*,12/02/2011 11:00:00
149220,9,13,PSI*,PSI*,12/02/2011 11:00:00
149220,11,6,PC*,PSI*,12/02/2011 11:00:00
149260,11,6,PC*,PSI*,12/02/2011 11:00:00
149280,19,11,PSI*,PC*,12/02/2011 11:00:00
149320,8,6,PSI*,PSI*,12/02/2011 11:00:00
149320,14,13,PSI*,PSI*,12/02/2011 11:00:00
149340,11,12,PC*,PC*,12/02/2011 11:00:00
149340,14,13,PSI*,PSI*,12/02/2011 11:00:00
149360,8,6,PSI*,PSI*,12/02/2011 11:00:00
149360,14,13,PSI*,PSI*,12/02/2011 11:00:00
149380,14,13,PSI*,PSI*,12/02/2011 11:00:00
149400,14,13,PSI*,PSI*,12/02/2011 11:30:00
149420,14,13,PSI*,PSI*,12/02/2011 11:30:00
149440,14,13,PSI*,PSI*,12/02/2011 11:30:00
149460,14,13,PSI*,PSI*,12/02/2011 11:30:00
149480,14,13,PSI*,PSI*,12/02/2011 11:30:00
149940,9,19,PSI*,PSI*,12/02/2011 11:30:00
150040,19,10,PSI*,PSI*,12/02/2011 11:30:00
150300,19,10,PSI*,PSI*,12/02/2011 11:30:00
150320,19,10,PSI*,PSI*,12/02/2011 11:30:00
151420,19,10,PSI*,PSI*,12/02/2011 12:00:00
151460,19,10,PSI*,PSI*,12/02/2011 12:00:00
151480,19,10,PSI*,PSI*,12/02/2011 12:00:00
151500,19,10,PSI*,PSI*,12/02/2011 12:00:00
151520,19,10,PSI*,PSI*,12/02/2011 12:00:00
151680,19,10,PSI*,PSI*,12/02/2011 12:00:00
151700,19,10,PSI*,PSI*,12/02/2011 12:00:00
151720,19,10,PSI*,PSI*,12/02/2011 12:00:00
151960,9,19,PSI*,PSI*,12/02/2011 12:00:00
152000,9,19,PSI*,PSI*,12/02/2011 12:00:00
152020,19,10,PSI*,PSI*,12/02/2011 12:00:00
152020,9,19,PSI*,PSI*,12/02/2011 12:00:00
152040,19,10,PSI*,PSI*,12/02/2011 12:00:00
152080,19,10,PSI*,PSI*,12/02/2011 12:00:00
152160,9,19,PSI*,PSI*,12/02/2011 12:00:00
152180,9,19,PSI*,PSI*,12/02/2011 12:00:00
152220,19,10,PSI*,PSI*,12/02/2011 12:00:00
152240,9,19,PSI*,PSI*,12/02/2011 12:00:00
152260,9,19,PSI*,PSI*,12/02/2011 12:00:00
152280,9,19,PSI*,PSI*,12/02/2011 12:00:00
152300,9,19,PSI*,PSI*,12/02/2011 12:00:00
152320,9,19,PSI*,PSI*,12/02/2011 12:00:00
152340,9,19,PSI*,PSI*,12/02/2011 12:00:00
152360,9,19,PSI*,PSI*,12/02/2011 12:00:00
152420,19,10,PSI*,PSI*,12/02/2011 12:00:00
152460,19,10,PSI*,PSI*,12/02/2011 12:00:00
152460,9,19,PSI*,PSI*,12/02/2011 12:00:00
152480,19,10,PSI*,PSI*,12/02/2011 12:00:00
152480,9,19,PSI*,PSI*,12/02/2011 12:00:00
152500,9,19,PSI*,PSI*,12/02/2011 12:00:00
152520,19,10,PSI*,PSI*,12/02/2011 12:00:00
152520,9,19,PSI*,PSI*,12/02/2011 12:00:00
152540,19,10,PSI*,PSI*,12/02/2011 12:00:00
152540,9,19,PSI*,PSI*,12/02/2011 12:00:00
152560,19,10,PSI*,PSI*,12/02/2011 12:00:00
152560,9,19,PSI*,PSI*,12/02/2011 12:00:00
152580,9,19,PSI*,PSI*,12/02/2011 12:00:00
152600,9,19,PSI*,PSI*,12/02/2011 12:00:00
152620,9,19,PSI*,PSI*,12/02/2011 12:00:00
152640,9,19,PSI*,PSI*,12/02/2011 12:00:00
153240,9,10,PSI*,PSI*,12/02/2011 12:30:00
153600,19,10,PSI*,PSI*,12/02/2011 12:30:00
153620,19,10,PSI*,PSI*,12/02/2011 12:30:00
153740,9,19,PSI*,PSI*,12/02/2011 12:30:00
153820,9,19,PSI*,PSI*,12/02/2011 12:30:00
154160,9,19,PSI*,PSI*,12/02/2011 12:30:00
154180,9,19,PSI*,PSI*,12/02/2011 12:30:00
154360,9,19,PSI*,PSI*,12/02/2011 12:30:00
154380,9,19,PSI*,PSI*,12/02/2011 12:30:00
154420,19,10,PSI*,PSI*,12/02/2011 12:30:00
154480,19,10,PSI*,PSI*,12/02/2011 12:30:00
154600,9,19,PSI*,PSI*,12/02/2011 12:30:00
155000,19,10,PSI*,PSI*,12/02/2011 13:00:00
155080,19,10,PSI*,PSI*,12/02/2011 13:00:00
155100,19,10,PSI*,PSI*,12/02/2011 13:00:00
155120,19,10,PSI*,PSI*,12/02/2011 13:00:00
156640,19,10,PSI*,PSI*,12/02/2011 13:30:00
156660,19,10,PSI*,PSI*,12/02/2011 13:30:00
158780,15,9,PC,PSI*,12/02/2011 14:00:00
158880,15,6,PC,PSI*,12/02/2011 14:00:00
160680,17,2,PC*,PC*,12/02/2011 14:30:00
160980,16,12,PC*,PC*,12/02/2011 14:30:00
161020,16,12,PC*,PC*,12/02/2011 14:30:00
161080,17,2,PC*,PC*,12/02/2011 14:30:00
161360,16,12,PC*,PC*,12/02/2011 14:30:00
227040,11,4,PC*,PC*,12/03/2011 09:00:00
227060,11,4,PC*,PC*,12/03/2011 09:00:00
227100,11,4,PC*,PC*,12/03/2011 09:00:00
227120,11,4,PC*,PC*,12/03/2011 09:00:00
227300,11,4,PC*,PC*,12/03/2011 09:00:00
227420,11,4,PC*,PC*,12/03/2011 09:00:00
227440,11,4,PC*,PC*,12/03/2011 09:00:00
227580,1,11,PC*,PC*,12/03/2011 09:00:00
227900,1,17,PC*,PC*,12/03/2011 09:00:00
231540,8,5,PSI*,PSI*,12/03/2011 10:00:00
235100,13,4,PSI*,PC*,12/03/2011 11:00:00
235120,11,13,PC*,PSI*,12/03/2011 11:00:00
235140,11,13,PC*,PSI*,12/03/2011 11:00:00
235160,1,8,PC*,PSI*,12/03/2011 11:00:00
235320,11,4,PC*,PC*,12/03/2011 11:00:00
235360,3,11,PC*,PC*,12/03/2011 11:00:00
235400,11,12,PC*,PC*,12/03/2011 11:00:00
235420,11,4,PC*,PC*,12/03/2011 11:00:00
235440,3,11,PC*,PC*,12/03/2011 11:00:00
235440,11,4,PC*,PC*,12/03/2011 11:00:00
235460,3,11,PC*,PC*,12/03/2011 11:00:00
235480,3,11,PC*,PC*,12/03/2011 11:00:00
235500,3,11,PC*,PC*,12/03/2011 11:00:00
235520,3,11,PC*,PC*,12/03/2011 11:00:00
235540,3,11,PC*,PC*,12/03/2011 11:00:00
235560,3,11,PC*,PC*,12/03/2011 11:00:00
235560,15,9,PC,PSI*,12/03/2011 11:00:00
235560,3,6,PC*,PSI*,12/03/2011 11:00:00
235560,11,6,PC*,PSI*,12/03/2011 11:00:00
