time,source,target,st,tt,t,id
54380,37,33,PC,PC*,12/01/2011 09:00,13
54400,100,37,PC,PC,12/01/2011 09:00,2
54400,66,33,PC,PC*,12/01/2011 09:00,9
54400,100,33,PC,PC*,12/01/2011 09:00,12
54400,100,66,PC,PC,12/01/2011 09:00,5
54400,66,37,PC,PC,12/01/2011 09:00,7
54400,37,33,PC,PC*,12/01/2011 09:00,13
54420,66,37,PC,PC,12/01/2011 09:00,7
54440,100,66,PC,PC,12/01/2011 09:00,5
54460,66,37,PC,PC,12/01/2011 09:00,7
54460,44,47,PC*,PSI*,12/01/2011 09:00,14
54480,26,66,PC,PC,12/01/2011 09:00,0
54480,100,66,PC,PC,12/01/2011 09:00,5
54480,66,37,PC,PC,12/01/2011 09:00,7
54500,100,37,PC,PC,12/01/2011 09:00,2
54500,26,66,PC,PC,12/01/2011 09:00,0
54500,100,66,PC,PC,12/01/2011 09:00,5
54500,66,37,PC,PC,12/01/2011 09:00,7
54500,26,37,PC,PC,12/01/2011 09:00,15
54520,100,37,PC,PC,12/01/2011 09:00,2
54520,35,47,PSI*,PSI*,12/01/2011 09:00,16
54520,100,66,PC,PC,12/01/2011 09:00,5
54520,66,37,PC,PC,12/01/2011 09:00,7
54540,100,37,PC,PC,12/01/2011 09:00,2
54540,106,45,PC,PC*,12/01/2011 09:00,17
54540,94,30,PC*,PC*,12/01/2011 09:00,18
54540,100,66,PC,PC,12/01/2011 09:00,5
54540,66,37,PC,PC,12/01/2011 09:00,7
54560,106,45,PC,PC*,12/01/2011 09:00,17
54560,106,66,PC,PC,12/01/2011 09:00,19
54560,100,66,PC,PC,12/01/2011 09:00,5
54560,66,37,PC,PC,12/01/2011 09:00,7
54580,21,84,PSI*,PSI*,12/01/2011 09:00,20
54580,57,4,PC*,PC*,12/01/2011 09:00,21
54580,66,45,PC,PC*,12/01/2011 09:00,22
54580,106,66,PC,PC,12/01/2011 09:00,19
54580,106,100,PC,PC,12/01/2011 09:00,23
54580,100,66,PC,PC,12/01/2011 09:00,5
54580,66,37,PC,PC,12/01/2011 09:00,7
54600,106,45,PC,PC*,12/01/2011 09:00,17
54600,66,33,PC,PC*,12/01/2011 09:00,9
54600,106,37,PC,PC,12/01/2011 09:00,24
54600,100,45,PC,PC*,12/01/2011 09:00,25
54600,106,66,PC,PC,12/01/2011 09:00,19
54600,113,119,PC*,PC*,12/01/2011 09:00,26
54600,106,100,PC,PC,12/01/2011 09:00,23
54600,100,66,PC,PC,12/01/2011 09:00,5
54620,106,45,PC,PC*,12/01/2011 09:00,17
54620,66,45,PC,PC*,12/01/2011 09:00,22
54620,94,109,PC*,PC*,12/01/2011 09:00,27
54620,41,10,PSI*,PSI*,12/01/2011 09:00,28
54620,100,45,PC,PC*,12/01/2011 09:00,25
54620,26,33,PC,PC*,12/01/2011 09:00,29
54620,106,100,PC,PC,12/01/2011 09:00,23
54620,28,100,PC,PC,12/01/2011 09:00,30
54620,100,66,PC,PC,12/01/2011 09:00,5
54620,37,33,PC,PC*,12/01/2011 09:00,13
54620,26,37,PC,PC,12/01/2011 09:00,15
54640,13,47,PSI*,PSI*,12/01/2011 09:00,31
54640,106,45,PC,PC*,12/01/2011 09:00,17
54640,86,89,PSI*,PSI*,12/01/2011 09:00,32
54640,90,44,PC*,PC*,12/01/2011 09:00,33
54640,94,109,PC*,PC*,12/01/2011 09:00,27
54640,41,10,PSI*,PSI*,12/01/2011 09:00,28
54640,100,45,PC,PC*,12/01/2011 09:00,25
54640,106,66,PC,PC,12/01/2011 09:00,19
54640,28,45,PC,PC*,12/01/2011 09:00,34
54640,106,100,PC,PC,12/01/2011 09:00,23
54640,28,100,PC,PC,12/01/2011 09:00,30
54640,100,66,PC,PC,12/01/2011 09:00,5
54640,37,33,PC,PC*,12/01/2011 09:00,13
54660,13,47,PSI*,PSI*,12/01/2011 09:00,31
54660,106,45,PC,PC*,12/01/2011 09:00,17
54660,86,89,PSI*,PSI*,12/01/2011 09:00,32
54660,90,44,PC*,PC*,12/01/2011 09:00,33
54660,66,33,PC,PC*,12/01/2011 09:00,9
54660,41,10,PSI*,PSI*,12/01/2011 09:00,28
54660,100,45,PC,PC*,12/01/2011 09:00,25
54660,106,66,PC,PC,12/01/2011 09:00,19
54660,28,45,PC,PC*,12/01/2011 09:00,34
54660,26,33,PC,PC*,12/01/2011 09:00,29
54660,106,100,PC,PC,12/01/2011 09:00,23
54660,28,100,PC,PC,12/01/2011 09:00,30
54660,80,13,PC*,PSI*,12/01/2011 09:00,35
54660,100,66,PC,PC,12/01/2011 09:00,5
54660,26,37,PC,PC,12/01/2011 09:00,15
54680,66,33,PC,PC*,12/01/2011 09:00,9
54680,66,45,PC,PC*,12/01/2011 09:00,22
54680,94,109,PC*,PC*,12/01/2011 09:00,27
54680,30,44,PC*,PC*,12/01/2011 09:00,36
54680,28,66,PC,PC,12/01/2011 09:00,37
54680,41,10,PSI*,PSI*,12/01/2011 09:00,28
54680,106,66,PC,PC,12/01/2011 09:00,19
54680,26,33,PC,PC*,12/01/2011 09:00,29
54680,106,100,PC,PC,12/01/2011 09:00,23
54680,28,100,PC,PC,12/01/2011 09:00,30
54680,100,66,PC,PC,12/01/2011 09:00,5
54680,23,69,PC,PC*,12/01/2011 09:00,38
54680,90,77,PC*,PC*,12/01/2011 09:00,39
54680,23,59,PC,PC*,12/01/2011 09:00,40
54680,94,44,PC*,PC*,12/01/2011 09:00,41
54700,28,33,PC,PC*,12/01/2011 09:00,42
54700,66,33,PC,PC*,12/01/2011 09:00,9
54700,66,45,PC,PC*,12/01/2011 09:00,22
54700,94,109,PC*,PC*,12/01/2011 09:00,27
54700,28,66,PC,PC,12/01/2011 09:00,37
54700,41,10,PSI*,PSI*,12/01/2011 09:00,28
54700,100,45,PC,PC*,12/01/2011 09:00,25
54700,106,66,PC,PC,12/01/2011 09:00,19
54700,40,13,PC*,PSI*,12/01/2011 09:00,43
54700,70,105,PC*,PC*,12/01/2011 09:00,44
54700,26,33,PC,PC*,12/01/2011 09:00,29
54700,28,100,PC,PC,12/01/2011 09:00,30
54700,100,66,PC,PC,12/01/2011 09:00,5
54700,90,77,PC*,PC*,12/01/2011 09:00,39
54700,24,12,PC,PC*,12/01/2011 09:00,45
54700,24,13,PC,PSI*,12/01/2011 09:00,46
54700,23,59,PC,PC*,12/01/2011 09:00,40
54700,94,44,PC*,PC*,12/01/2011 09:00,41
54720,57,4,PC*,PC*,12/01/2011 09:00,21
54720,28,104,PC,PC,12/01/2011 09:00,47
54720,66,45,PC,PC*,12/01/2011 09:00,22
54720,94,109,PC*,PC*,12/01/2011 09:00,27
54720,41,10,PSI*,PSI*,12/01/2011 09:00,28
54720,100,45,PC,PC*,12/01/2011 09:00,25
54720,56,66,PC,PC,12/01/2011 09:00,48
54720,106,66,PC,PC,12/01/2011 09:00,19
54720,24,40,PC,PC*,12/01/2011 09:00,49
54720,40,13,PC*,PSI*,12/01/2011 09:00,43
54720,56,106,PC,PC,12/01/2011 09:00,50
54720,106,100,PC,PC,12/01/2011 09:00,23
54720,28,106,PC,PC,12/01/2011 09:00,51
54720,28,100,PC,PC,12/01/2011 09:00,30
54720,100,66,PC,PC,12/01/2011 09:00,5
54720,12,13,PC*,PSI*,12/01/2011 09:00,52
54720,100,104,PC,PC,12/01/2011 09:00,53
54720,24,13,PC,PSI*,12/01/2011 09:00,46
54740,21,84,PSI*,PSI*,12/01/2011 09:00,20
54740,57,4,PC*,PC*,12/01/2011 09:00,21
54740,109,3,PC*,PC*,12/01/2011 09:00,54
54740,41,10,PSI*,PSI*,12/01/2011 09:00,28
54740,40,12,PC*,PC*,12/01/2011 09:00,55
54740,56,66,PC,PC,12/01/2011 09:00,48
54740,106,66,PC,PC,12/01/2011 09:00,19
54740,40,13,PC*,PSI*,12/01/2011 09:00,43
54740,56,106,PC,PC,12/01/2011 09:00,50
54740,59,69,PC*,PC*,12/01/2011 09:00,56
54740,121,114,teacher,PSI*,12/01/2011 09:00,57
54740,104,66,PC,PC,12/01/2011 09:00,58
54740,93,62,PC*,PC,12/01/2011 09:00,59
54740,66,37,PC,PC,12/01/2011 09:00,7
54740,12,13,PC*,PSI*,12/01/2011 09:00,52
54740,24,12,PC,PC*,12/01/2011 09:00,45
54740,56,45,PC,PC*,12/01/2011 09:00,60
54740,24,13,PC,PSI*,12/01/2011 09:00,46
54740,23,59,PC,PC*,12/01/2011 09:00,40
54740,94,44,PC*,PC*,12/01/2011 09:00,41
54740,26,37,PC,PC,12/01/2011 09:00,15
54760,68,33,PC*,PC*,12/01/2011 09:00,61
54760,28,104,PC,PC,12/01/2011 09:00,47
54760,28,66,PC,PC,12/01/2011 09:00,37
54760,41,13,PSI*,PSI*,12/01/2011 09:00,62
54760,56,106,PC,PC,12/01/2011 09:00,50
54760,1,32,PC*,PC*,12/01/2011 09:00,63
54760,13,5,PSI*,PSI*,12/01/2011 09:00,64
54760,13,10,PSI*,PSI*,12/01/2011 09:00,65
54760,100,33,PC,PC*,12/01/2011 09:00,12
54760,93,62,PC*,PC,12/01/2011 09:00,59
54760,66,37,PC,PC,12/01/2011 09:00,7
54760,37,33,PC,PC*,12/01/2011 09:00,13
54760,104,45,PC,PC*,12/01/2011 09:00,66
54760,24,12,PC,PC*,12/01/2011 09:00,45
54760,23,59,PC,PC*,12/01/2011 09:00,40
54780,57,4,PC*,PC*,12/01/2011 09:00,21
54780,28,104,PC,PC,12/01/2011 09:00,47
54780,115,42,PSI*,PSI*,12/01/2011 09:00,67
54780,66,33,PC,PC*,12/01/2011 09:00,9
54780,94,109,PC*,PC*,12/01/2011 09:00,27
54780,28,66,PC,PC,12/01/2011 09:00,37
54780,41,13,PSI*,PSI*,12/01/2011 09:00,62
54780,56,106,PC,PC,12/01/2011 09:00,50
54780,104,33,PC,PC*,12/01/2011 09:00,68
54780,1,32,PC*,PC*,12/01/2011 09:00,63
54780,106,33,PC,PC*,12/01/2011 09:00,69
54780,106,104,PC,PC,12/01/2011 09:00,70
54780,28,100,PC,PC,12/01/2011 09:00,30
54780,104,66,PC,PC,12/01/2011 09:00,58
54780,93,62,PC*,PC,12/01/2011 09:00,59
54780,100,66,PC,PC,12/01/2011 09:00,5
54780,81,33,PC,PC*,12/01/2011 09:00,71
54780,100,104,PC,PC,12/01/2011 09:00,53
54780,13,38,PSI*,PSI*,12/01/2011 09:00,72
54800,40,57,PC*,PC*,12/01/2011 09:00,73
54800,54,45,PC*,PC*,12/01/2011 09:00,74
54800,28,104,PC,PC,12/01/2011 09:00,47
54800,66,33,PC,PC*,12/01/2011 09:00,9
54800,94,109,PC*,PC*,12/01/2011 09:00,27
54800,28,66,PC,PC,12/01/2011 09:00,37
54800,106,66,PC,PC,12/01/2011 09:00,19
54800,54,33,PC*,PC*,12/01/2011 09:00,75
54800,56,54,PC,PC*,12/01/2011 09:00,76
54800,56,106,PC,PC,12/01/2011 09:00,50
54800,106,33,PC,PC*,12/01/2011 09:00,69
54800,106,104,PC,PC,12/01/2011 09:00,70
54800,28,100,PC,PC,12/01/2011 09:00,30
54800,46,41,PSI*,PSI*,12/01/2011 09:00,77
54800,104,66,PC,PC,12/01/2011 09:00,58
54800,100,66,PC,PC,12/01/2011 09:00,5
54800,81,33,PC,PC*,12/01/2011 09:00,71
54800,100,104,PC,PC,12/01/2011 09:00,53
54800,106,54,PC,PC*,12/01/2011 09:00,78
54820,81,24,PC,PC,12/01/2011 09:00,79
54820,28,104,PC,PC,12/01/2011 09:00,47
54820,28,66,PC,PC,12/01/2011 09:00,37
54820,56,66,PC,PC,12/01/2011 09:00,48
54820,106,66,PC,PC,12/01/2011 09:00,19
54820,96,86,PSI*,PSI*,12/01/2011 09:00,80
54820,56,106,PC,PC,12/01/2011 09:00,50
54820,28,100,PC,PC,12/01/2011 09:00,30
54820,60,13,PSI*,PSI*,12/01/2011 09:00,81
54820,26,66,PC,PC,12/01/2011 09:00,0
54820,40,4,PC*,PC*,12/01/2011 09:00,82
54820,104,66,PC,PC,12/01/2011 09:00,58
54820,100,66,PC,PC,12/01/2011 09:00,5
54820,81,56,PC,PC,12/01/2011 09:00,83
54820,81,104,PC,PC,12/01/2011 09:00,84
54820,46,38,PSI*,PSI*,12/01/2011 09:00,85
54820,100,104,PC,PC,12/01/2011 09:00,53
54820,13,38,PSI*,PSI*,12/01/2011 09:00,72
54820,81,66,PC,PC,12/01/2011 09:00,86
54820,81,106,PC,PC,12/01/2011 09:00,87
54840,81,24,PC,PC,12/01/2011 09:00,79
54840,28,104,PC,PC,12/01/2011 09:00,47
54840,94,109,PC*,PC*,12/01/2011 09:00,27
54840,28,66,PC,PC,12/01/2011 09:00,37
54840,103,48,PC,PC,12/01/2011 09:00,88
54840,106,66,PC,PC,12/01/2011 09:00,19
54840,96,86,PSI*,PSI*,12/01/2011 09:00,80
54840,56,106,PC,PC,12/01/2011 09:00,50
54840,91,96,PSI*,PSI*,12/01/2011 09:00,89
54840,28,100,PC,PC,12/01/2011 09:00,30
54840,40,4,PC*,PC*,12/01/2011 09:00,82
54840,23,104,PC,PC,12/01/2011 09:00,90
54840,104,66,PC,PC,12/01/2011 09:00,58
54840,46,13,PSI*,PSI*,12/01/2011 09:00,91
54840,100,104,PC,PC,12/01/2011 09:00,53
54840,13,38,PSI*,PSI*,12/01/2011 09:00,72
54840,95,16,PC*,PC*,12/01/2011 09:00,92
54860,24,26,PC,PC,12/01/2011 09:00,93
54860,28,104,PC,PC,12/01/2011 09:00,47
54860,32,44,PC*,PC*,12/01/2011 09:00,94
54860,28,66,PC,PC,12/01/2011 09:00,37
54860,16,32,PC*,PC*,12/01/2011 09:00,95
54860,106,66,PC,PC,12/01/2011 09:00,19
54860,56,106,PC,PC,12/01/2011 09:00,50
54860,23,66,PC,PC,12/01/2011 09:00,96
54860,91,96,PSI*,PSI*,12/01/2011 09:00,89
54860,28,100,PC,PC,12/01/2011 09:00,30
54860,40,4,PC*,PC*,12/01/2011 09:00,82
54860,59,69,PC*,PC*,12/01/2011 09:00,56
54860,104,66,PC,PC,12/01/2011 09:00,58
54860,1,44,PC*,PC*,12/01/2011 09:00,97
54860,23,62,PC,PC,12/01/2011 09:00,98
54880,54,45,PC*,PC*,12/01/2011 09:00,74
54880,68,33,PC*,PC*,12/01/2011 09:00,61
54880,24,26,PC,PC,12/01/2011 09:00,93
54880,28,104,PC,PC,12/01/2011 09:00,47
54880,28,66,PC,PC,12/01/2011 09:00,37
54880,56,66,PC,PC,12/01/2011 09:00,48
54880,106,66,PC,PC,12/01/2011 09:00,19
54880,81,26,PC,PC,12/01/2011 09:00,99
54880,16,69,PC*,PC*,12/01/2011 09:00,100
54880,56,106,PC,PC,12/01/2011 09:00,50
54880,84,47,PSI*,PSI*,12/01/2011 09:00,101
54880,91,96,PSI*,PSI*,12/01/2011 09:00,89
54880,32,80,PC*,PC*,12/01/2011 09:00,102
54880,28,100,PC,PC,12/01/2011 09:00,30
54880,40,4,PC*,PC*,12/01/2011 09:00,82
54880,104,66,PC,PC,12/01/2011 09:00,58
54880,90,77,PC*,PC*,12/01/2011 09:00,39
54880,16,44,PC*,PC*,12/01/2011 09:00,103
54880,100,104,PC,PC,12/01/2011 09:00,53
54880,34,5,PSI*,PSI*,12/01/2011 09:00,104
54880,18,13,PSI*,PSI*,12/01/2011 09:00,105
54900,28,104,PC,PC,12/01/2011 09:00,47
54900,28,66,PC,PC,12/01/2011 09:00,37
54900,41,10,PSI*,PSI*,12/01/2011 09:00,28
54900,56,66,PC,PC,12/01/2011 09:00,48
54900,33,69,PC*,PC*,12/01/2011 09:00,106
54900,81,26,PC,PC,12/01/2011 09:00,99
54900,30,33,PC*,PC*,12/01/2011 09:00,107
54900,16,69,PC*,PC*,12/01/2011 09:00,100
54900,56,106,PC,PC,12/01/2011 09:00,50
54900,23,66,PC,PC,12/01/2011 09:00,96
54900,84,47,PSI*,PSI*,12/01/2011 09:00,101
54900,91,96,PSI*,PSI*,12/01/2011 09:00,89
54900,28,100,PC,PC,12/01/2011 09:00,30
54900,40,4,PC*,PC*,12/01/2011 09:00,82
54900,59,69,PC*,PC*,12/01/2011 09:00,56
54900,100,104,PC,PC,12/01/2011 09:00,53
54900,18,13,PSI*,PSI*,12/01/2011 09:00,105
54920,28,104,PC,PC,12/01/2011 09:00,47
54920,26,25,PC,PC,12/01/2011 09:00,108
54920,94,109,PC*,PC*,12/01/2011 09:00,27
54920,23,58,PC,PC,12/01/2011 09:00,109
54920,28,56,PC,PC,12/01/2011 09:00,110
54920,28,66,PC,PC,12/01/2011 09:00,37
54920,41,10,PSI*,PSI*,12/01/2011 09:00,28
54920,30,69,PC*,PC*,12/01/2011 09:00,111
54920,56,66,PC,PC,12/01/2011 09:00,48
54920,106,66,PC,PC,12/01/2011 09:00,19
54920,81,26,PC,PC,12/01/2011 09:00,99
54920,38,42,PSI*,PSI*,12/01/2011 09:00,112
54920,56,106,PC,PC,12/01/2011 09:00,50
54920,91,96,PSI*,PSI*,12/01/2011 09:00,89
54920,28,106,PC,PC,12/01/2011 09:00,51
54920,60,13,PSI*,PSI*,12/01/2011 09:00,81
54920,104,66,PC,PC,12/01/2011 09:00,58
54940,68,57,PC*,PC*,12/01/2011 09:00,113
54940,57,69,PC*,PC*,12/01/2011 09:00,114
54940,28,104,PC,PC,12/01/2011 09:00,47
54940,13,73,PSI*,PSI*,12/01/2011 09:00,115
54940,23,58,PC,PC,12/01/2011 09:00,109
54940,28,56,PC,PC,12/01/2011 09:00,110
54940,28,66,PC,PC,12/01/2011 09:00,37
54940,116,72,PSI*,PSI*,12/01/2011 09:00,116
54940,56,66,PC,PC,12/01/2011 09:00,48
54940,106,66,PC,PC,12/01/2011 09:00,19
54940,81,26,PC,PC,12/01/2011 09:00,99
54940,56,106,PC,PC,12/01/2011 09:00,50
54940,56,104,PC,PC,12/01/2011 09:00,117
54940,91,96,PSI*,PSI*,12/01/2011 09:00,89
54940,28,100,PC,PC,12/01/2011 09:00,30
54940,8,47,PSI*,PSI*,12/01/2011 09:00,118
54940,60,13,PSI*,PSI*,12/01/2011 09:00,81
54940,86,65,PSI*,PSI*,12/01/2011 09:00,119
54940,60,73,PSI*,PSI*,12/01/2011 09:00,120
54940,8,116,PSI*,PSI*,12/01/2011 09:00,121
54940,104,66,PC,PC,12/01/2011 09:00,58
54940,1,44,PC*,PC*,12/01/2011 09:00,97
54940,11,33,PC*,PC*,12/01/2011 09:00,122
54940,72,47,PSI*,PSI*,12/01/2011 09:00,123
54940,81,25,PC,PC,12/01/2011 09:00,124
54940,116,47,PSI*,PSI*,12/01/2011 09:00,125
54940,24,23,PC,PC,12/01/2011 09:00,126
54940,8,72,PSI*,PSI*,12/01/2011 09:00,127
54960,68,57,PC*,PC*,12/01/2011 09:00,113
54960,42,22,PSI*,PSI*,12/01/2011 09:00,128
54960,28,81,PC,PC,12/01/2011 09:00,129
54960,28,104,PC,PC,12/01/2011 09:00,47
54960,94,109,PC*,PC*,12/01/2011 09:00,27
54960,16,78,PC*,PC*,12/01/2011 09:00,130
54960,41,10,PSI*,PSI*,12/01/2011 09:00,28
54960,65,72,PSI*,PSI*,12/01/2011 09:00,131
54960,56,66,PC,PC,12/01/2011 09:00,48
54960,106,66,PC,PC,12/01/2011 09:00,19
54960,81,26,PC,PC,12/01/2011 09:00,99
54960,56,106,PC,PC,12/01/2011 09:00,50
54960,28,100,PC,PC,12/01/2011 09:00,30
54960,60,13,PSI*,PSI*,12/01/2011 09:00,81
54960,59,69,PC*,PC*,12/01/2011 09:00,56
54960,104,66,PC,PC,12/01/2011 09:00,58
54960,90,77,PC*,PC*,12/01/2011 09:00,39
54960,95,16,PC*,PC*,12/01/2011 09:00,92
54980,28,104,PC,PC,12/01/2011 09:00,47
54980,94,109,PC*,PC*,12/01/2011 09:00,27
54980,41,10,PSI*,PSI*,12/01/2011 09:00,28
54980,56,66,PC,PC,12/01/2011 09:00,48
54980,106,66,PC,PC,12/01/2011 09:00,19
54980,96,86,PSI*,PSI*,12/01/2011 09:00,80
54980,37,63,PC,PC,12/01/2011 09:00,132
54980,56,106,PC,PC,12/01/2011 09:00,50
54980,91,96,PSI*,PSI*,12/01/2011 09:00,89
54980,28,100,PC,PC,12/01/2011 09:00,30
54980,86,65,PSI*,PSI*,12/01/2011 09:00,119
54980,40,45,PC*,PC*,12/01/2011 09:00,133
54980,33,59,PC*,PC*,12/01/2011 09:00,134
54980,45,4,PC*,PC*,12/01/2011 09:00,135
55000,26,27,PC,PC,12/01/2011 09:00,136
55000,68,57,PC*,PC*,12/01/2011 09:00,113
55000,42,22,PSI*,PSI*,12/01/2011 09:00,128
55000,93,59,PC*,PC*,12/01/2011 09:00,137
55000,23,27,PC,PC,12/01/2011 09:00,138
55000,28,104,PC,PC,12/01/2011 09:00,47
55000,94,109,PC*,PC*,12/01/2011 09:00,27
55000,85,22,PSI*,PSI*,12/01/2011 09:00,139
55000,41,10,PSI*,PSI*,12/01/2011 09:00,28
55000,56,110,PC,PC,12/01/2011 09:00,140
55000,56,66,PC,PC,12/01/2011 09:00,48
55000,106,66,PC,PC,12/01/2011 09:00,19
55000,96,86,PSI*,PSI*,12/01/2011 09:00,80
55000,56,106,PC,PC,12/01/2011 09:00,50
55000,28,100,PC,PC,12/01/2011 09:00,30
55000,86,65,PSI*,PSI*,12/01/2011 09:00,119
55000,43,78,PC*,PC*,12/01/2011 09:00,141
55000,73,47,PSI*,PSI*,12/01/2011 09:00,142
55000,40,45,PC*,PC*,12/01/2011 09:00,133
55000,49,37,PC,PC,12/01/2011 09:00,143
55000,109,99,PC*,PC*,12/01/2011 09:00,144
55020,103,108,PC,PC,12/01/2011 09:00,145
55020,33,57,PC*,PC*,12/01/2011 09:00,146
55020,28,104,PC,PC,12/01/2011 09:00,47
55020,94,109,PC*,PC*,12/01/2011 09:00,27
55020,85,22,PSI*,PSI*,12/01/2011 09:00,139
55020,1,107,PC*,PC*,12/01/2011 09:00,147
55020,41,10,PSI*,PSI*,12/01/2011 09:00,28
55020,56,110,PC,PC,12/01/2011 09:00,140
55020,67,76,PC,teacher,12/01/2011 09:00,148
55020,106,66,PC,PC,12/01/2011 09:00,19
55020,67,63,PC,PC,12/01/2011 09:00,149
55020,56,106,PC,PC,12/01/2011 09:00,50
55020,28,100,PC,PC,12/01/2011 09:00,30
55020,86,65,PSI*,PSI*,12/01/2011 09:00,119
55020,94,99,PC*,PC*,12/01/2011 09:00,150
55020,43,80,PC*,PC*,12/01/2011 09:00,151
55020,40,45,PC*,PC*,12/01/2011 09:00,133
55020,11,80,PC*,PC*,12/01/2011 09:00,152
55020,16,55,PC*,PC*,12/01/2011 09:00,153
55020,49,37,PC,PC,12/01/2011 09:00,143
55020,109,99,PC*,PC*,12/01/2011 09:00,144
55040,68,57,PC*,PC*,12/01/2011 09:00,113
55040,52,13,PSI*,PSI*,12/01/2011 09:00,154
55040,68,33,PC*,PC*,12/01/2011 09:00,61
55040,28,104,PC,PC,12/01/2011 09:00,47
55040,69,78,PC*,PC*,12/01/2011 09:00,155
55040,109,3,PC*,PC*,12/01/2011 09:00,54
55040,16,78,PC*,PC*,12/01/2011 09:00,130
55040,85,22,PSI*,PSI*,12/01/2011 09:00,139
55040,41,10,PSI*,PSI*,12/01/2011 09:00,28
55040,55,78,PC*,PC*,12/01/2011 09:00,156
55040,66,110,PC,PC,12/01/2011 09:00,157
55040,56,66,PC,PC,12/01/2011 09:00,48
55040,106,66,PC,PC,12/01/2011 09:00,19
55040,16,69,PC*,PC*,12/01/2011 09:00,100
55040,56,106,PC,PC,12/01/2011 09:00,50
55040,106,110,PC,PC,12/01/2011 09:00,158
55040,26,62,PC,PC,12/01/2011 09:00,159
55040,86,65,PSI*,PSI*,12/01/2011 09:00,119
55040,94,99,PC*,PC*,12/01/2011 09:00,150
55040,102,41,PSI*,PSI*,12/01/2011 09:00,160
55040,40,45,PC*,PC*,12/01/2011 09:00,133
55040,109,99,PC*,PC*,12/01/2011 09:00,144
55060,52,13,PSI*,PSI*,12/01/2011 09:00,154
55060,43,44,PC*,PC*,12/01/2011 09:00,161
55060,28,104,PC,PC,12/01/2011 09:00,47
55060,94,109,PC*,PC*,12/01/2011 09:00,27
55060,85,22,PSI*,PSI*,12/01/2011 09:00,139
55060,41,10,PSI*,PSI*,12/01/2011 09:00,28
55060,66,110,PC,PC,12/01/2011 09:00,157
55060,56,66,PC,PC,12/01/2011 09:00,48
55060,106,66,PC,PC,12/01/2011 09:00,19
55060,16,69,PC*,PC*,12/01/2011 09:00,100
55060,67,63,PC,PC,12/01/2011 09:00,149
55060,96,86,PSI*,PSI*,12/01/2011 09:00,80
55060,56,106,PC,PC,12/01/2011 09:00,50
55060,91,96,PSI*,PSI*,12/01/2011 09:00,89
55060,28,100,PC,PC,12/01/2011 09:00,30
55060,86,65,PSI*,PSI*,12/01/2011 09:00,119
55060,40,4,PC*,PC*,12/01/2011 09:00,82
55060,102,41,PSI*,PSI*,12/01/2011 09:00,160
55060,40,45,PC*,PC*,12/01/2011 09:00,133
55060,100,104,PC,PC,12/01/2011 09:00,53
55060,70,87,PC*,PC*,12/01/2011 09:00,162
55060,11,80,PC*,PC*,12/01/2011 09:00,152
55060,49,37,PC,PC,12/01/2011 09:00,143
55060,109,99,PC*,PC*,12/01/2011 09:00,144
55080,26,27,PC,PC,12/01/2011 09:00,136
55080,52,13,PSI*,PSI*,12/01/2011 09:00,154
55080,28,104,PC,PC,12/01/2011 09:00,47
55080,51,11,PC*,PC*,12/01/2011 09:00,163
55080,94,109,PC*,PC*,12/01/2011 09:00,27
