time,src,dst,ss,ds,t,id
54660,86,89,PSI*,PSI*,12/01/2011 09:11,32
54660,90,44,PC*,PC*,12/01/2011 09:11,33
54660,66,33,PC,PC*,12/01/2011 09:11,9
54660,41,10,PSI*,PSI*,12/01/2011 09:11,28
54660,100,45,PC,PC*,12/01/2011 09:11,25
54660,106,66,PC,PC,12/01/2011 09:11,19
54660,28,45,PC,PC*,12/01/2011 09:11,34
54660,26,33,PC,PC*,12/01/2011 09:11,29
54660,106,100,PC,PC,12/01/2011 09:11,23
54660,28,100,PC,PC,12/01/2011 09:11,30
54660,80,13,PC*,PSI*,12/01/2011 09:11,35
54660,100,66,PC,PC,12/01/2011 09:11,5
54660,26,37,PC,PC,12/01/2011 09:11,15
54680,66,33,PC,PC*,12/01/2011 09:11,9
54680,66,45,PC,PC*,12/01/2011 09:11,22
54680,94,109,PC*,PC*,12/01/2011 09:11,27
54680,30,44,PC*,PC*,12/01/2011 09:11,36
54680,28,66,PC,PC,12/01/2011 09:11,37
54680,41,10,PSI*,PSI*,12/01/2011 09:11,28
54680,106,66,PC,PC,12/01/2011 09:11,19
54680,26,33,PC,PC*,12/01/2011 09:11,29
54680,106,100,PC,PC,12/01/2011 09:11,23
54680,28,100,PC,PC,12/01/2011 09:11,30
54680,100,66,PC,PC,12/01/2011 09:11,5
54680,23,69,PC,PC*,12/01/2011 09:11,38
54680,90,77,PC*,PC*,12/01/2011 09:11,39
54680,23,59,PC,PC*,12/01/2011 09:11,40
54680,94,44,PC*,PC*,12/01/2011 09:11,41
54700,28,33,PC,PC*,12/01/2011 09:11,42
54700,66,33,PC,PC*,12/01/2011 09:11,9
54700,66,45,PC,PC*,12/01/2011 09:11,22
54700,94,109,PC*,PC*,12/01/2011 09:11,27
54700,28,66,PC,PC,12/01/2011 09:11,37
54700,41,10,PSI*,PSI*,12/01/2011 09:11,28
54700,100,45,PC,PC*,12/01/2011 09:11,25
54700,106,66,PC,PC,12/01/2011 09:11,19
54700,40,13,PC*,PSI*,12/01/2011 09:11,43
54700,70,105,PC*,PC*,12/01/2011 09:11,44
54700,26,33,PC,PC*,12/01/2011 09:11,29
54700,28,100,PC,PC,12/01/2011 09:11,30
54700,100,66,PC,PC,12/01/2011 09:11,5
54700,90,77,PC*,PC*,12/01/2011 09:11,39
54700,24,12,PC,PC*,12/01/2011 09:11,45
54700,24,13,PC,PSI*,12/01/2011 09:11,46
54700,23,59,PC,PC*,12/01/2011 09:11,40
54700,94,44,PC*,PC*,12/01/2011 09:11,41
54720,57,4,PC*,PC*,12/01/2011 09:12,21
54720,28,104,PC,PC,12/01/2011 09:12,47
54720,66,45,PC,PC*,12/01/2011 09:12,22
54720,94,109,PC*,PC*,12/01/2011 09:12,27
54720,41,10,PSI*,PSI*,12/01/2011 09:12,28
54720,100,45,PC,PC*,12/01/2011 09:12,25
54720,56,66,PC,PC,12/01/2011 09:12,48
54720,106,66,PC,PC,12/01/2011 09:12,19
54720,24,40,PC,PC*,12/01/2011 09:12,49
54720,40,13,PC*,PSI*,12/01/2011 09:12,43
54720,56,106,PC,PC,12/01/2011 09:12,50
54720,106,100,PC,PC,12/01/2011 09:12,23
54720,28,106,PC,PC,12/01/2011 09:12,51
54720,28,100,PC,PC,12/01/2011 09:12,30
54720,100,66,PC,PC,12/01/2011 09:12,5
54720,12,13,PC*,PSI*,12/01/2011 09:12,52
54720,100,104,PC,PC,12/01/2011 09:12,53
54720,24,13,PC,PSI*,12/01/2011 09:12,46
54740,21,84,PSI*,PSI*,12/01/2011 09:12,20
54740,57,4,PC*,PC*,12/01/2011 09:12,21
54740,109,3,PC*,PC*,12/01/2011 09:12,54
54740,41,10,PSI*,PSI*,12/01/2011 09:12,28
54740,40,12,PC*,PC*,12/01/2011 09:12,55
54740,56,66,PC,PC,12/01/2011 09:12,48
54740,106,66,PC,PC,12/01/2011 09:12,19
54740,40,13,PC*,PSI*,12/01/2011 09:12,43
54740,56,106,PC,PC,12/01/2011 09:12,50
54740,59,69,PC*,PC*,12/01/2011 09:12,56
54740,121,114,teacher,PSI*,12/01/2011 09:12,57
54740,104,66,PC,PC,12/01/2011 09:12,58
54740,93,62,PC*,PC,12/01/2011 09:12,59
54740,66,37,PC,PC,12/01/2011 09:12,7
54740,12,13,PC*,PSI*,12/01/2011 09:12,52
54740,24,12,PC,PC*,12/01/2011 09:12,45
54740,56,45,PC,PC*,12/01/2011 09:12,60
54740,24,13,PC,PSI*,12/01/2011 09:12,46
54740,23,59,PC,PC*,12/01/2011 09:12,40
54740,94,44,PC*,PC*,12/01/2011 09:12,41
54740,26,37,PC,PC,12/01/2011 09:12,15
54760,68,33,PC*,PC*,12/01/2011 09:12,61
54760,28,104,PC,PC,12/01/2011 09:12,47
54760,28,66,PC,PC,12/01/2011 09:12,37
54760,41,13,PSI*,PSI*,12/01/2011 09:12,62
54760,56,106,PC,PC,12/01/2011 09:12,50
54760,1,32,PC*,PC*,12/01/2011 09:12,63
54760,13,5,PSI*,PSI*,12/01/2011 09:12,64
54760,13,10,PSI*,PSI*,12/01/2011 09:12,65
54760,100,33,PC,PC*,12/01/2011 09:12,12
54760,93,62,PC*,PC,12/01/2011 09:12,59
54760,66,37,PC,PC,12/01/2011 09:12,7
54760,37,33,PC,PC*,12/01/2011 09:12,13
54760,104,45,PC,PC*,12/01/2011 09:12,66
54760,24,12,PC,PC*,12/01/2011 09:12,45
54760,23,59,PC,PC*,12/01/2011 09:12,40
54780,57,4,PC*,PC*,12/01/2011 09:13,21
54780,28,104,PC,PC,12/01/2011 09:13,47
54780,115,42,PSI*,PSI*,12/01/2011 09:13,67
54780,66,33,PC,PC*,12/01/2011 09:13,9
54780,94,109,PC*,PC*,12/01/2011 09:13,27
54780,28,66,PC,PC,12/01/2011 09:13,37
54780,41,13,PSI*,PSI*,12/01/2011 09:13,62
54780,56,106,PC,PC,12/01/2011 09:13,50
54780,104,33,PC,PC*,12/01/2011 09:13,68
54780,1,32,PC*,PC*,12/01/2011 09:13,63
54780,106,33,PC,PC*,12/01/2011 09:13,69
54780,106,104,PC,PC,12/01/2011 09:13,70
54780,28,100,PC,PC,12/01/2011 09:13,30
54780,104,66,PC,PC,12/01/2011 09:13,58
54780,93,62,PC*,PC,12/01/2011 09:13,59
54780,100,66,PC,PC,12/01/2011 09:13,5
54780,81,33,PC,PC*,12/01/2011 09:13,71
54780,100,104,PC,PC,12/01/2011 09:13,53
54780,13,38,PSI*,PSI*,12/01/2011 09:13,72
54800,40,57,PC*,PC*,12/01/2011 09:13,73
54800,54,45,PC*,PC*,12/01/2011 09:13,74
54800,28,104,PC,PC,12/01/2011 09:13,47
54800,66,33,PC,PC*,12/01/2011 09:13,9
54800,94,109,PC*,PC*,12/01/2011 09:13,27
54800,28,66,PC,PC,12/01/2011 09:13,37
54800,106,66,PC,PC,12/01/2011 09:13,19
54800,54,33,PC*,PC*,12/01/2011 09:13,75
54800,56,54,PC,PC*,12/01/2011 09:13,76
54800,56,106,PC,PC,12/01/2011 09:13,50
54800,106,33,PC,PC*,12/01/2011 09:13,69
54800,106,104,PC,PC,12/01/2011 09:13,70
54800,28,100,PC,PC,12/01/2011 09:13,30
54800,46,41,PSI*,PSI*,12/01/2011 09:13,77
54800,104,66,PC,PC,12/01/2011 09:13,58
54800,100,66,PC,PC,12/01/2011 09:13,5
54800,81,33,PC,PC*,12/01/2011 09:13,71
54800,100,104,PC,PC,12/01/2011 09:13,53
54800,106,54,PC,PC*,12/01/2011 09:13,78
54820,81,24,PC,PC,12/01/2011 09:13,79
54820,28,104,PC,PC,12/01/2011 09:13,47
54820,28,66,PC,PC,12/01/2011 09:13,37
54820,56,66,PC,PC,12/01/2011 09:13,48
54820,106,66,PC,PC,12/01/2011 09:13,19
54820,96,86,PSI*,PSI*,12/01/2011 09:13,80
54820,56,106,PC,PC,12/01/2011 09:13,50
54820,28,100,PC,PC,12/01/2011 09:13,30
54820,60,13,PSI*,PSI*,12/01/2011 09:13,81
54820,26,66,PC,PC,12/01/2011 09:13,0
54820,40,4,PC*,PC*,12/01/2011 09:13,82
54820,104,66,PC,PC,12/01/2011 09:13,58
54820,100,66,PC,PC,12/01/2011 09:13,5
54820,81,56,PC,PC,12/01/2011 09:13,83
54820,81,104,PC,PC,12/01/2011 09:13,84
54820,46,38,PSI*,PSI*,12/01/2011 09:13,85
54820,100,104,PC,PC,12/01/2011 09:13,53
54820,13,38,PSI*,PSI*,12/01/2011 09:13,72
54820,81,66,PC,PC,12/01/2011 09:13,86
54820,81,106,PC,PC,12/01/2011 09:13,87
54840,81,24,PC,PC,12/01/2011 09:14,79
54840,28,104,PC,PC,12/01/2011 09:14,47
54840,94,109,PC*,PC*,12/01/2011 09:14,27
54840,28,66,PC,PC,12/01/2011 09:14,37
54840,103,48,PC,PC,12/01/2011 09:14,88
54840,106,66,PC,PC,12/01/2011 09:14,19
54840,96,86,PSI*,PSI*,12/01/2011 09:14,80
54840,56,106,PC,PC,12/01/2011 09:14,50
54840,91,96,PSI*,PSI*,12/01/2011 09:14,89
54840,28,100,PC,PC,12/01/2011 09:14,30
54840,40,4,PC*,PC*,12/01/2011 09:14,82
54840,23,104,PC,PC,12/01/2011 09:14,90
54840,104,66,PC,PC,12/01/2011 09:14,58
54840,46,13,PSI*,PSI*,12/01/2011 09:14,91
54840,100,104,PC,PC,12/01/2011 09:14,53
54840,13,38,PSI*,PSI*,12/01/2011 09:14,72
54840,95,16,PC*,PC*,12/01/2011 09:14,92
54860,24,26,PC,PC,12/01/2011 09:14,93
54860,28,104,PC,PC,12/01/2011 09:14,47
54860,32,44,PC*,PC*,12/01/2011 09:14,94
54860,28,66,PC,PC,12/01/2011 09:14,37
54860,16,32,PC*,PC*,12/01/2011 09:14,95
54860,106,66,PC,PC,12/01/2011 09:14,19
54860,56,106,PC,PC,12/01/2011 09:14,50
54860,23,66,PC,PC,12/01/2011 09:14,96
54860,91,96,PSI*,PSI*,12/01/2011 09:14,89
54860,28,100,PC,PC,12/01/2011 09:14,30
54860,40,4,PC*,PC*,12/01/2011 09:14,82
54860,59,69,PC*,PC*,12/01/2011 09:14,56
54860,104,66,PC,PC,12/01/2011 09:14,58
54860,1,44,PC*,PC*,12/01/2011 09:14,97
54860,23,62,PC,PC,12/01/2011 09:14,98
54880,54,45,PC*,PC*,12/01/2011 09:14,74
54880,68,33,PC*,PC*,12/01/2011 09:14,61
54880,24,26,PC,PC,12/01/2011 09:14,93
54880,28,104,PC,PC,12/01/2011 09:14,47
54880,28,66,PC,PC,12/01/2011 09:14,37
54880,56,66,PC,PC,12/01/2011 09:14,48
54880,106,66,PC,PC,12/01/2011 09:14,19
54880,81,26,PC,PC,12/01/2011 09:14,99
54880,16,69,PC*,PC*,12/01/2011 09:14,100
54880,56,106,PC,PC,12/01/2011 09:14,50
54880,84,47,PSI*,PSI*,12/01/2011 09:14,101
54880,91,96,PSI*,PSI*,12/01/2011 09:14,89
54880,32,80,PC*,PC*,12/01/2011 09:14,102
54880,28,100,PC,PC,12/01/2011 09:14,30
54880,40,4,PC*,PC*,12/01/2011 09:14,82
54880,104,66,PC,PC,12/01/2011 09:14,58
54880,90,77,PC*,PC*,12/01/2011 09:14,39
54880,16,44,PC*,PC*,12/01/2011 09:14,103
54880,100,104,PC,PC,12/01/2011 09:14,53
54880,34,5,PSI*,PSI*,12/01/2011 09:14,104
54880,18,13,PSI*,PSI*,12/01/2011 09:14,105
54900,28,104,PC,PC,12/01/2011 09:15,47
54900,28,66,PC,PC,12/01/2011 09:15,37
54900,41,10,PSI*,PSI*,12/01/2011 09:15,28
54900,56,66,PC,PC,12/01/2011 09:15,48
54900,33,69,PC*,PC*,12/01/2011 09:15,106
54900,81,26,PC,PC,12/01/2011 09:15,99
54900,30,33,PC*,PC*,12/01/2011 09:15,107
54900,16,69,PC*,PC*,12/01/2011 09:15,100
54900,56,106,PC,PC,12/01/2011 09:15,50
54900,23,66,PC,PC,12/01/2011 09:15,96
54900,84,47,PSI*,PSI*,12/01/2011 09:15,101
54900,91,96,PSI*,PSI*,12/01/2011 09:15,89
54900,28,100,PC,PC,12/01/2011 09:15,30
54900,40,4,PC*,PC*,12/01/2011 09:15,82
54900,59,69,PC*,PC*,12/01/2011 09:15,56
54900,100,104,PC,PC,12/01/2011 09:15,53
54900,18,13,PSI*,PSI*,12/01/2011 09:15,105
54920,28,104,PC,PC,12/01/2011 09:15,47
54920,26,25,PC,PC,12/01/2011 09:15,108
54920,94,109,PC*,PC*,12/01/2011 09:15,27
54920,23,58,PC,PC,12/01/2011 09:15,109
54920,28,56,PC,PC,12/01/2011 09:15,110
54920,28,66,PC,PC,12/01/2011 09:15,37
54920,41,10,PSI*,PSI*,12/01/2011 09:15,28
54920,30,69,PC*,PC*,12/01/2011 09:15,111
54920,56,66,PC,PC,12/01/2011 09:15,48
54920,106,66,PC,PC,12/01/2011 09:15,19
54920,81,26,PC,PC,12/01/2011 09:15,99
54920,38,42,PSI*,PSI*,12/01/2011 09:15,112
54920,56,106,PC,PC,12/01/2011 09:15,50
54920,91,96,PSI*,PSI*,12/01/2011 09:15,89
54920,28,106,PC,PC,12/01/2011 09:15,51
54920,60,13,PSI*,PSI*,12/01/2011 09:15,81
54920,104,66,PC,PC,12/01/2011 09:15,58
54940,68,57,PC*,PC*,12/01/2011 09:15,113
54940,57,69,PC*,PC*,12/01/2011 09:15,114
54940,28,104,PC,PC,12/01/2011 09:15,47
54940,13,73,PSI*,PSI*,12/01/2011 09:15,115
54940,23,58,PC,PC,12/01/2011 09:15,109
54940,28,56,PC,PC,12/01/2011 09:15,110
54940,28,66,PC,PC,12/01/2011 09:15,37
54940,116,72,PSI*,PSI*,12/01/2011 09:15,116
54940,56,66,PC,PC,12/01/2011 09:15,48
54940,106,66,PC,PC,12/01/2011 09:15,19
54940,81,26,PC,PC,12/01/2011 09:15,99
54940,56,106,PC,PC,12/01/2011 09:15,50
54940,56,104,PC,PC,12/01/2011 09:15,117
54940,91,96,PSI*,PSI*,12/01/2011 09:15,89
54940,28,100,PC,PC,12/01/2011 09:15,30
54940,8,47,PSI*,PSI*,12/01/2011 09:15,118
54940,60,13,PSI*,PSI*,12/01/2011 09:15,81
54940,86,65,PSI*,PSI*,12/01/2011 09:15,119
54940,60,73,PSI*,PSI*,12/01/2011 09:15,120
54940,8,116,PSI*,PSI*,12/01/2011 09:15,121
54940,104,66,PC,PC,12/01/2011 09:15,58
54940,1,44,PC*,PC*,12/01/2011 09:15,97
54940,11,33,PC*,PC*,12/01/2011 09:15,122
54940,72,47,PSI*,PSI*,12/01/2011 09:15,123
54940,81,25,PC,PC,12/01/2011 09:15,124
54940,116,47,PSI*,PSI*,12/01/2011 09:15,125
54940,24,23,PC,PC,12/01/2011 09:15,126
54940,8,72,PSI*,PSI*,12/01/2011 09:15,127
54960,68,57,PC*,PC*,12/01/2011 09:16,113
54960,42,22,PSI*,PSI*,12/01/2011 09:16,128
54960,28,81,PC,PC,12/01/2011 09:16,129
54960,28,104,PC,PC,12/01/2011 09:16,47
54960,94,109,PC*,PC*,12/01/2011 09:16,27
54960,16,78,PC*,PC*,12/01/2011 09:16,130
54960,41,10,PSI*,PSI*,12/01/2011 09:16,28
54960,65,72,PSI*,PSI*,12/01/2011 09:16,131
54960,56,66,PC,PC,12/01/2011 09:16,48
54960,106,66,PC,PC,12/01/2011 09:16,19
54960,81,26,PC,PC,12/01/2011 09:16,99
54960,56,106,PC,PC,12/01/2011 09:16,50
54960,28,100,PC,PC,12/01/2011 09:16,30
54960,60,13,PSI*,PSI*,12/01/2011 09:16,81
54960,59,69,PC*,PC*,12/01/2011 09:16,56
54960,104,66,PC,PC,12/01/2011 09:16,58
54960,90,77,PC*,PC*,12/01/2011 09:16,39
54960,95,16,PC*,PC*,12/01/2011 09:16,92
54980,28,104,PC,PC,12/01/2011 09:16,47
54980,94,109,PC*,PC*,12/01/2011 09:16,27
54980,41,10,PSI*,PSI*,12/01/2011 09:16,28
54980,56,66,PC,PC,12/01/2011 09:16,48
54980,106,66,PC,PC,12/01/2011 09:16,19
54980,96,86,PSI*,PSI*,12/01/2011 09:16,80
54980,37,63,PC,PC,12/01/2011 09:16,132
54980,56,106,PC,PC,12/01/2011 09:16,50
54980,91,96,PSI*,PSI*,12/01/2011 09:16,89
54980,28,100,PC,PC,12/01/2011 09:16,30
54980,86,65,PSI*,PSI*,12/01/2011 09:16,119
54980,40,45,PC*,PC*,12/01/2011 09:16,133
54980,33,59,PC*,PC*,12/01/2011 09:16,134
54980,45,4,PC*,PC*,12/01/2011 09:16,135
55000,26,27,PC,PC,12/01/2011 09:16,136
55000,68,57,PC*,PC*,12/01/2011 09:16,113
55000,42,22,PSI*,PSI*,12/01/2011 09:16,128
55000,93,59,PC*,PC*,12/01/2011 09:16,137
55000,23,27,PC,PC,12/01/2011 09:16,138
55000,28,104,PC,PC,12/01/2011 09:16,47
55000,94,109,PC*,PC*,12/01/2011 09:16,27
55000,85,22,PSI*,PSI*,12/01/2011 09:16,139
55000,41,10,PSI*,PSI*,12/01/2011 09:16,28
55000,56,110,PC,PC,12/01/2011 09:16,140
55000,56,66,PC,PC,12/01/2011 09:16,48
55000,106,66,PC,PC,12/01/2011 09:16,19
55000,96,86,PSI*,PSI*,12/01/2011 09:16,80
55000,56,106,PC,PC,12/01/2011 09:16,50
55000,28,100,PC,PC,12/01/2011 09:16,30
55000,86,65,PSI*,PSI*,12/01/2011 09:16,119
55000,43,78,PC*,PC*,12/01/2011 09:16,141
55000,73,47,PSI*,PSI*,12/01/2011 09:16,142
55000,40,45,PC*,PC*,12/01/2011 09:16,133
55000,49,37,PC,PC,12/01/2011 09:16,143
55000,109,99,PC*,PC*,12/01/2011 09:16,144
55020,103,108,PC,PC,12/01/2011 09:17,145
55020,33,57,PC*,PC*,12/01/2011 09:17,146
55020,28,104,PC,PC,12/01/2011 09:17,47
55020,94,109,PC*,PC*,12/01/2011 09:17,27
55020,85,22,PSI*,PSI*,12/01/2011 09:17,139
55020,1,107,PC*,PC*,12/01/2011 09:17,147
55020,41,10,PSI*,PSI*,12/01/2011 09:17,28
55020,56,110,PC,PC,12/01/2011 09:17,140
55020,67,76,PC,teacher,12/01/2011 09:17,148
55020,106,66,PC,PC,12/01/2011 09:17,19
55020,67,63,PC,PC,12/01/2011 09:17,149
55020,56,106,PC,PC,12/01/2011 09:17,50
55020,28,100,PC,PC,12/01/2011 09:17,30
55020,86,65,PSI*,PSI*,12/01/2011 09:17,119
55020,94,99,PC*,PC*,12/01/2011 09:17,150
55020,43,80,PC*,PC*,12/01/2011 09:17,151
55020,40,45,PC*,PC*,12/01/2011 09:17,133
55020,11,80,PC*,PC*,12/01/2011 09:17,152
55020,16,55,PC*,PC*,12/01/2011 09:17,153
55020,49,37,PC,PC,12/01/2011 09:17,143
55020,109,99,PC*,PC*,12/01/2011 09:17,144
55040,68,57,PC*,PC*,12/01/2011 09:17,113
55040,52,13,PSI*,PSI*,12/01/2011 09:17,154
55040,68,33,PC*,PC*,12/01/2011 09:17,61
55040,28,104,PC,PC,12/01/2011 09:17,47
55040,69,78,PC*,PC*,12/01/2011 09:17,155
55040,109,3,PC*,PC*,12/01/2011 09:17,54
55040,16,78,PC*,PC*,12/01/2011 09:17,130
55040,85,22,PSI*,PSI*,12/01/2011 09:17,139
55040,41,10,PSI*,PSI*,12/01/2011 09:17,28
55040,55,78,PC*,PC*,12/01/2011 09:17,156
55040,66,110,PC,PC,12/01/2011 09:17,157
55040,56,66,PC,PC,12/01/2011 09:17,48
55040,106,66,PC,PC,12/01/2011 09:17,19
55040,16,69,PC*,PC*,12/01/2011 09:17,100
55040,56,106,PC,PC,12/01/2011 09:17,50
55040,106,110,PC,PC,12/01/2011 09:17,158
55040,26,62,PC,PC,12/01/2011 09:17,159
55040,86,65,PSI*,PSI*,12/01/2011 09:17,119
55040,94,99,PC*,PC*,12/01/2011 09:17,150
55040,102,41,PSI*,PSI*,12/01/2011 09:17,160
55040,40,45,PC*,PC*,12/01/2011 09:17,133
55040,109,99,PC*,PC*,12/01/2011 09:17,144
55060,52,13,PSI*,PSI*,12/01/2011 09:17,154
55060,43,44,PC*,PC*,12/01/2011 09:17,161
55060,28,104,PC,PC,12/01/2011 09:17,47
55060,94,109,PC*,PC*,12/01/2011 09:17,27
55060,85,22,PSI*,PSI*,12/01/2011 09:17,139
55060,41,10,PSI*,PSI*,12/01/2011 09:17,28
55060,66,110,PC,PC,12/01/2011 09:17,157
55060,56,66,PC,PC,12/01/2011 09:17,48
55060,106,66,PC,PC,12/01/2011 09:17,19
55060,16,69,PC*,PC*,12/01/2011 09:17,100
55060,67,63,PC,PC,12/01/2011 09:17,149
55060,96,86,PSI*,PSI*,12/01/2011 09:17,80
55060,56,106,PC,PC,12/01/2011 09:17,50
55060,91,96,PSI*,PSI*,12/01/2011 09:17,89
55060,28,100,PC,PC,12/01/2011 09:17,30
55060,86,65,PSI*,PSI*,12/01/2011 09:17,119
55060,40,4,PC*,PC*,12/01/2011 09:17,82
55060,102,41,PSI*,PSI*,12/01/2011 09:17,160
55060,40,45,PC*,PC*,12/01/2011 09:17,133
55060,100,104,PC,PC,12/01/2011 09:17,53
55060,70,87,PC*,PC*,12/01/2011 09:17,162
55060,11,80,PC*,PC*,12/01/2011 09:17,152
55060,49,37,PC,PC,12/01/2011 09:17,143
55060,109,99,PC*,PC*,12/01/2011 09:17,144
55080,26,27,PC,PC,12/01/2011 09:18,136
55080,52,13,PSI*,PSI*,12/01/2011 09:18,154
55080,28,104,PC,PC,12/01/2011 09:18,47
55080,51,11,PC*,PC*,12/01/2011 09:18,163
55080,94,109,PC*,PC*,12/01/2011 09:18,27
